"","logFC","logCPM","PValue","FDR"
"YKL060C",-0.152594071643433,14.0249301233096,1.97653392099409e-92,9.74595934210169e-91
"YOR273C",-1.31935783611259,7.52647874931312,5.81410249307361e-92,2.84314416954682e-90
"YER072W",-1.13553699150895,8.07626739935237,4.80169673879043e-91,2.32882291831336e-89
"YDL184C",0.885430071146388,9.12063070392064,1.35674620583058e-90,6.52672138203216e-89
"YGL189C",0.573092525196962,10.3729616719989,2.11972895019404e-90,1.01148679018533e-88
"YBR093C",-1.60157638555265,6.88682729479549,4.03243817807153e-90,1.90879493597194e-88
"YDR155C",-0.463562419204125,11.411176991514,5.15710262500954e-90,2.42179176445885e-88
"YKL182W",-0.708806319598152,9.50839306007858,1.02062599275532e-89,4.75515275522299e-88
"YAL003W",-0.599949570036126,9.68456985823273,1.71467662216387e-89,7.92636060417469e-88
"YER055C",-1.0442145662278,8.4156880913914,8.71602552845043e-88,3.99788550789466e-86
"YBR212W",0.980692801291472,8.38932070873763,2.36882798176795e-84,1.07818116677853e-82
"YLR108C",2.44571319304588,6.35633129411664,6.77012359678663e-84,3.05792529176996e-82
"YGR008C",-1.01635006580281,8.10537104233186,8.96453408400165e-84,4.01842031629074e-82
"YAL044C",-1.49342336426132,7.14341041366257,1.09960243190944e-82,4.89199066887831e-81
"YER145C",0.950657300354604,8.52902082302963,1.84912110375326e-82,8.16511162008063e-81
"YBR162C",0.582827304985343,10.0296238680407,2.21553833813352e-82,9.71062247906373e-81
"YFR055W",-1.67676982563919,6.8152800985507,2.2726241529574e-82,9.88758611253597e-81
"YHR146W",1.20721941921786,7.93269022121287,2.64620087596604e-82,1.14288836372927e-80
"YHR219W",0.961600390463902,9.73141090233815,5.27914541725929e-82,2.26352923434226e-80
"YBR009C",0.729425126601035,9.19754221035433,5.97492692732192e-82,2.54342752726358e-80
"YKR039W",1.72703130862855,7.35220190671186,1.64117327008639e-81,6.93630159935799e-80
"YKL104C",0.904109397389998,8.54722631622369,3.31150623593073e-79,1.38965832609944e-77
"YFL054C",1.685559491736,7.42211893189942,5.36279613050055e-79,2.23462427494167e-77
